,categoria,cilindrada,quilometragem,ano,url,preco,diferenca_de_preco
1251,Motos,300,60.0,2013,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/cb-300-728026666,5800.0,-4193.22130271887
4348,Motos,300,30000.0,2012,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/vendo-ou-troco-718969881,6000.0,-3586.9920386922404
2261,Motos,300,27000.0,2012,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/cb-300-ano-2012-gasolina-725741440,6900.0,-2681.734094507594
1808,Motos,300,43420.0,2012,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/cb300r-2011-12-726774957,7000.0,-2581.1498784870782
3021,Motos,300,54000.0,2012,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/moto-cb-300-723583046,7000.0,-2581.1498784870782
372,Motos,300,70000.0,2012,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/cb-300r-730322379,7000.0,-2581.1498784870782
2967,Motos,300,77000.0,2011,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/cb-300-2011-723700231,6000.0,-2422.6839355634947
3773,Motos,300,53000.0,2012,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/vende-se-cbr-300r-721074988,7350.0,-2229.1051224152707
4056,Motos,300,77000.0,2011,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/cb-300-2011-720143123,6200.0,-2221.5155035224634
3279,Motos,300,40000.0,2012,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/vende-se-722756788,7400.0,-2178.813014405012
2662,Motos,300,59800.0,2012,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/vende-se-724558827,7500.0,-2078.2287983844963
3134,Motos,300,49000.0,2012,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/cb300r-723290686,7500.0,-2078.2287983844963
1274,Motos,300,72000.0,2012,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/vendo-urgente-727955807,7500.0,-2078.2287983844963
3924,Motos,300,65110.0,2012,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/motocicleta-720610701,7500.0,-2078.2287983844963
950,Motos,300,50000.0,2012,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/cb300r-728603980,7500.0,-2078.2287983844963
2151,Motos,300,74000.0,2012,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/moto-cb300-725987937,7500.0,-2078.2287983844963
3482,Motos,300,85000.0,2010,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/vendo-o-troco-722036716,6000.0,-1944.8823495741208
1264,Motos,300,79000.0,2012,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/honda-cb300-2012-semi-nova-doc-ok-727975908,7700.0,-1877.060366343463
570,Motos,300,69600.0,2010,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/cb-300r-729233734,6100.0,-1844.2981335536042
4169,Motos,300,39.0,2012,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/cb-300-719659832,7800.0,-1776.4761503229474
2288,Motos,300,34000.0,2012,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/cb-300-2012-vendo-ou-troco-725667369,7800.0,-1776.4761503229474
860,Motos,300,75000.0,2012,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/cb-300-2012-728747948,7800.0,-1776.4761503229474
577,Motos,300,63000.0,2012,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/honda-cb-300-r-729220763,7800.0,-1776.4761503229474
4054,Motos,300,74.0,2011,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/cb-300-preta-2011-720164976,6700.0,-1718.5944234198814
3256,Motos,300,30000.0,2013,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/cb300-2013-flex-721429137,8300.0,-1678.615902205962
4042,Motos,300,33000.0,2012,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/cb-300r-720202791,7900.0,-1675.8919343024318
2414,Motos,300,40000.0,2013,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/cb-300-2013-725340963,8400.0,-1578.0316861854462
4185,Motos,300,38400.0,2012,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/cb-300r-719559735,7999.0,-1576.3135604421204
841,Motos,300,55.0,2012,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/moto-728780068,8000.0,-1575.3077182819143
2838,Motos,300,51000.0,2012,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/vendo-cb-300-724013734,8000.0,-1575.3077182819143
1241,Motos,300,54000.0,2012,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/moto-cb300-728062642,8000.0,-1575.3077182819143
2959,Motos,300,55.0,2012,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/moto-723721153,8000.0,-1575.3077182819143
167,Motos,300,53700.0,2012,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/cb-300r-730571603,8000.0,-1575.3077182819143
871,Motos,300,47000.0,2012,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/vendo-cb-300r-edicao-limitada-e-pegar-e-andar-728732811,8000.0,-1575.3077182819143
4216,Motos,300,46700.0,2010,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/cb-300-2010-toda-revisada-719449943,6400.0,-1542.5454854920554
787,Motos,500,95834.0,2010,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/cb-300r-2010-728866977,6000.0,-1515.8930492917198
3266,Motos,300,46000.0,2013,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/cb-300r-2013-722796261,8500.0,-1477.4474701649287
2842,Motos,300,55.0,2013,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/cb300r-flex-2013-724000698,8500.0,-1477.4474701649287
2348,Motos,300,69000.0,2010,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/cb-300r-2010-725517612,6490.0,-1452.0196910735913
115,Motos,300,11599.0,2010,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/honda-cb300-2010-730623195,6500.0,-1441.9612694715397
4053,Motos,300,63300.0,2010,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/cb-300-720169908,6500.0,-1441.9612694715397
3164,Motos,300,54000.0,2011,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/vendo-cb-300-723176174,7000.0,-1416.8417753583326
737,Motos,300,63000.0,2011,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/cb300-ano-2011-728962974,7000.0,-1416.8417753583326
1923,Motos,300,42.0,2011,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/cb300-preta-2011-726498037,7000.0,-1416.8417753583326
2497,Motos,300,67065.0,2011,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/vendo-moto-honda-cb-300-725092129,7000.0,-1416.8417753583326
