categoria,modelo,cilindrada,quilometragem,ano,url,preco
Motos,HONDA PCX 150/DLX,150,3000,2019,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/pcx-150-728453836,12000.0
Motos,HONDA CBR 1000 RR FIRE BLADE,1000,31351,2011,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/cbr-1000rr-rap-sol-2011-673078512,38900.0
Motos,HONDA BIZ 125 EX/ 125 EX FLEX,125,30000,2014,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/biz-125-ex-branca-completa-2014-728451369,8500.0
Motos,KAWASAKI NINJA ZX-10/ ZX-10R 1000CC,1000,26000,2010,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/kawasaki-ninja-zx10r-1000cc-2010-728451115,28000.0
Motos,HONDA XRE 300/ 300 ABS/ FLEX,300,1100,2018,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/xre-300-honda-728451055,18400.0
Motos,KAWASAKI ER-6N 650CC,650,41174,2013,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/kawasaki-er-6n-2013-719819737,21900.0
Motos,YAMAHA XVS 650 DRAG STAR,650,84000,2005,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/xvs-drag-star-650-728450352,16000.0
Motos,HONDA ,250,98,2006,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/troco-por-moto-728445100,16000.0
Motos,HONDA CG 150 FAN ESI/ 150 FAN ESI FLEX,150,50342,2012,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/fan-150-cc-esi-linda-728445082,6000.0
Motos,YAMAHA FAZER,250,130000,2008,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/fazer-250-2008-728441717,6500.0
Motos,HONDA XRE 300/ 300 ABS/ FLEX,300,53000,2011,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/xre-300-abs-2011-728441651,10000.0
Motos,HONDA ,250,90000,2006,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/cbx-twister-250cc-2006-728433605,4500.0
Motos,HONDA CB 600F HORNET,600,81000,2005,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/hornet-2005-728433464,16500.0
Motos, ,50,1000,1990,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/vende-se-mobilete-50cc-lindissima-728433428,1500.0
Motos,YAMAHA YZ,125,300,1998,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/yz80cc-728432522,5000.0
